start_x,start_y,end_x,end_y,control1_x,control1_y,control2_x,control2_y
42,45,598,409,14,64,432,348
499,250,335,297,347,388,370,126
577,91,699,423,474,185,649,391
90,577,646,65,190,632,555,-105
136,201,566,510,189,258,631,512
178,450,207,558,346,649,153,630
758,278,478,489,688,423,404,376
618,10,206,422,712,123,282,344
486,103,384,110,350,213,376,127
309,320,208,785,282,227,336,891
136,611,749,456,47,593,616,396
179,676,699,226,191,675,562,272
785,330,574,631,766,378,396,582
32,165,264,532,136,212,240,500
144,60,313,277,60,176,303,404
643,148,550,371,496,92,660,322
94,728,254,710,67,828,201,717
299,755,159,536,265,834,-33,612
365,577,779,781,329,727,777,646
687,272,498,353,619,419,328,169
430,264,692,390,557,462,829,272
88,166,445,741,243,67,535,783
301,344,117,434,242,499,237,519
123,274,13,72,109,176,13,72
681,18,482,632,616,131,404,672
235,343,155,83,164,530,242,107
360,219,681,605,189,147,688,457
344,496,172,290,273,670,310,449
226,581,239,479,253,423,63,630
651,594,507,61,691,737,688,217
92,38,95,23,225,-62,134,-96
94,324,453,272,262,164,294,132
362,549,211,221,332,619,45,124
630,61,693,787,609,138,562,821
109,437,391,635,5,588,534,490
282,343,177,773,467,419,196,930
6,768,467,339,133,672,363,403
678,693,329,647,730,748,357,532
375,431,429,717,573,295,528,582
546,304,46,458,456,290,-138,366
456,657,227,602,556,538,110,482
411,504,80,513,398,383,-50,350
688,399,164,148,556,286,216,246
583,555,49,312,540,403,-57,244
497,723,296,188,481,536,328,316
554,488,154,304,581,340,320,112
292,187,479,373,100,-2,503,323
130,591,732,63,46,571,573,62
730,783,201,173,655,931,75,45
689,586,221,613,554,493,156,713
18,781,449,725,52,612,456,725
678,291,674,236,640,333,709,79
784,735,636,663,785,885,810,729
587,623,86,270,512,696,-18,230
519,624,586,312,557,513,533,331
682,692,781,596,809,589,908,702
19,252,481,483,104,55,362,481
271,359,643,580,389,497,657,674
709,354,26,350,729,406,5,456
522,412,526,739,618,408,441,769
42,191,77,179,223,290,-26,15
562,179,530,20,426,271,703,197
222,65,364,671,406,-101,294,780
499,536,9,439,511,716,-71,567
299,481,694,95,198,459,766,152
750,499,126,415,589,500,-46,533
430,278,365,567,562,168,178,627
65,34,198,3,-23,-140,287,5
325,99,242,720,198,20,346,649
575,182,397,584,532,273,540,741
342,428,547,680,416,472,435,605
60,493,559,327,243,399,447,494
676,411,658,532,585,369,558,575
513,268,599,333,411,187,555,141
781,342,6,579,734,493,-136,499
694,66,76,391,755,15,44,575
460,338,791,2,298,457,926,-63
19,681,618,583,99,743,601,711
238,425,442,369,298,333,385,212
658,59,761,297,494,-19,896,408
255,664,147,248,163,630,195,431
230,523,681,207,186,348,523,228
339,609,327,464,312,605,147,285
398,229,582,197,324,324,647,193
314,204,596,135,251,390,478,18
68,766,189,127,219,735,204,134
631,631,577,161,568,741,458,354
321,147,315,540,451,47,341,733
